geometry_id,load_case,L2_rel_u,MAE_u,R2_u,p50_u,p90_u,p95_u,p99_u,L2_rel_vm,MAE_vm,R2_vm,p50_vm,p90_vm,p95_vm,p99_vm,L2_rel_vm_ip,MAE_vm_ip,R2_vm_ip,p50_vm_ip,p90_vm_ip,p95_vm_ip,p99_vm_ip
1,Compression,2.5433,0.01011787,0.99848,0.8288,1.7963,2.2133,3.1385,11.5506,142574.49840699,0.913875,1.9912,6.5214,8.53,13.0789,11.027,137888.34866059,0.920374,1.8754,6.0052,7.8332,12.3568
1,Lateral bending,2.2938,0.01114116,0.998801,0.9961,1.9797,2.3091,3.0232,17.5413,490814.34861399,0.836319,1.9812,6.1264,8.2423,15.3366,17.2667,487003.61739421,0.84877,1.7389,5.5116,7.4656,13.8648
2,Compression,1.3319,0.00615282,0.999428,0.5289,1.029,1.2064,1.5616,8.5796,93949.66782066,0.934326,1.3057,4.1348,6.115,12.3215,7.5944,86898.18048935,0.94805,1.2664,3.7076,5.1629,9.7675
2,Lateral bending,1.3167,0.00655123,0.999541,0.5867,1.1666,1.3565,1.732,12.4653,316450.03901283,0.932225,1.0384,2.9764,4.7556,9.2569,12.4372,312562.61202639,0.934275,0.9172,2.5975,4.185,8.4398
3,Compression,2.6715,0.01178131,0.99782,0.934,2.0828,2.5405,3.4333,11.342,82389.66702,0.915924,1.8701,5.5787,7.5226,12.5852,10.2489,76216.42622515,0.931254,1.5959,4.5204,5.9203,10.2175
3,Lateral bending,3.6361,0.02213114,0.995842,2.1366,3.3254,3.6735,4.4294,18.4912,247606.29941784,0.866802,1.6627,4.8726,7.5749,14.2921,18.2085,244752.45577781,0.874729,1.4621,4.3564,6.7401,12.7425
4,Compression,2.1331,0.00823528,0.998797,0.6866,1.4566,1.7729,2.5439,10.3979,213595.6588276,0.890716,1.4026,5.6757,8.2681,12.7822,9.9421,204047.96321765,0.898353,1.345,5.1848,7.4213,12.5251
4,Lateral bending,1.9466,0.00836339,0.999176,0.7535,1.4497,1.7122,2.4131,15.3445,928487.83018341,0.872402,1.4891,4.9069,7.1776,12.4173,15.4937,925939.26590219,0.874206,1.3308,4.351,6.4894,11.3067
5,Compression,1.4903,0.00635549,0.999356,0.5359,1.0862,1.3122,1.7802,10.166,82365.46869515,0.907919,1.3213,5.3455,7.9544,14.4727,9.0037,75420.12912198,0.926943,1.2384,4.5481,6.6744,12.0443
5,Lateral bending,1.4346,0.00687736,0.999493,0.6243,1.2028,1.4032,1.8382,14.6201,284436.21780558,0.892595,1.0225,4.0944,6.1121,11.2942,14.2832,278721.99814348,0.901959,0.8908,3.626,5.4522,9.9034
6,Compression,1.7528,0.00759932,0.99916,0.637,1.2897,1.5552,2.2064,9.5559,141094.49358468,0.93984,1.6217,5.144,7.123,10.8244,8.9895,133461.63537921,0.946379,1.4819,4.517,6.0598,9.9244
6,Lateral bending,2.3805,0.01327335,0.998451,1.266,2.1306,2.4215,3.0066,15.6084,450126.29120919,0.890047,1.6436,4.628,6.3171,14.0522,15.4604,446600.92531934,0.895062,1.4547,4.0999,5.6163,12.815
7,Compression,1.5471,0.00695945,0.999252,0.5806,1.1867,1.4268,1.9065,7.0682,85269.9833736,0.964223,1.0751,3.4305,4.9361,9.2232,6.4778,79376.47075221,0.96976,1.026,3.1035,4.2897,7.2723
7,Lateral bending,1.9831,0.01067999,0.998862,0.9758,1.8574,2.1362,2.6736,13.448,327930.55424857,0.923916,1.2057,3.5056,5.7392,10.5565,13.4241,326035.75930297,0.925872,1.0651,3.0967,5.0709,9.5879
8,Compression,1.4052,0.00581211,0.999496,0.5014,0.9857,1.1615,1.5996,8.7157,133103.89383515,0.936943,1.171,4.9249,7.1757,10.8351,8.219,126436.58697142,0.943158,1.1334,4.2976,6.4519,10.2396
