geometry_id,load_case,L2_rel_u,MAE_u,R2_u,p50_u,p90_u,p95_u,p99_u,L2_rel_vm,MAE_vm,R2_vm,p50_vm,p90_vm,p95_vm,p99_vm,L2_rel_vm_ip,MAE_vm_ip,R2_vm_ip,p50_vm_ip,p90_vm_ip,p95_vm_ip,p99_vm_ip
1,Compression,1.3592,0.00712883,0.999432,0.6496,1.205,1.3871,1.8309,10.0296,55094.87661858,0.890112,1.2065,4.6532,7.0376,11.2044,9.9458,54533.20499729,0.890849,1.2019,4.5153,6.737,11.1483
1,Lateral bending,1.1174,0.0052381,0.99971,0.4634,0.868,1.0023,1.2776,13.9407,290456.4142098,0.914785,1.0598,5.0926,6.879,10.0762,14.0,288990.50052925,0.914727,0.9497,4.5061,6.1137,8.7202
2,Compression,1.5244,0.00798204,0.99937,0.7055,1.3936,1.627,2.2121,11.2803,72978.80784853,0.921,1.083,5.1689,7.2905,11.3968,11.2283,72440.22569439,0.921176,1.0756,5.0405,7.209,11.4337
2,Lateral bending,1.1331,0.0054768,0.99971,0.4871,0.9204,1.0627,1.361,13.9436,359795.86157797,0.92952,1.4065,5.2223,6.9388,13.4831,13.9548,357928.48218438,0.929652,1.2552,4.6337,6.1413,11.8754
3,Compression,1.551,0.00798836,0.999201,0.7272,1.3211,1.5268,2.0068,9.2682,45410.47191737,0.833903,1.3495,3.7447,5.6317,12.6223,8.9991,44511.52097969,0.8408,1.3403,3.6221,5.3498,10.5355
3,Lateral bending,1.5782,0.00730818,0.999396,0.6235,1.1949,1.3909,1.7853,13.6121,209069.45412,0.87987,1.4778,3.7014,5.3511,9.6556,13.5322,207050.29702318,0.88342,1.3148,3.2849,4.7449,8.1703
4,Compression,1.6784,0.00856105,0.999109,0.7796,1.4247,1.6432,2.1109,9.064,41801.69135394,0.873632,1.3631,3.8297,5.8051,11.2005,8.7063,40920.86279712,0.881754,1.3585,3.7331,5.4784,10.0534
4,Lateral bending,1.5498,0.00709713,0.999414,0.5915,1.158,1.3736,1.8988,14.2379,192797.41531358,0.866405,1.5571,4.4034,5.677,10.6216,14.1136,190859.3474048,0.870834,1.387,3.9024,5.0408,8.7783
5,Compression,1.8344,0.00976348,0.999045,0.8846,1.6942,1.9615,2.5583,12.0095,101397.26087623,0.90018,1.5017,5.2406,6.9344,11.8758,11.9882,100770.16319944,0.89974,1.4885,5.0827,6.8832,12.0479
5,Lateral bending,1.5317,0.00723491,0.99947,0.6491,1.2102,1.3919,1.7501,14.8824,553472.80785671,0.921477,1.8397,4.9814,6.3953,14.2521,14.9234,550130.280603,0.92145,1.6376,4.4342,5.6763,11.8763
6,Compression,1.2932,0.00668256,0.999449,0.6062,1.1168,1.297,1.6743,8.6262,35397.73110487,0.856538,1.1488,3.6869,5.0799,10.8054,8.4722,34858.24529681,0.859628,1.1458,3.6242,4.9067,9.4095
6,Lateral bending,1.3715,0.00644839,0.999552,0.5685,1.0255,1.173,1.488,13.0046,181781.75972874,0.901384,1.2148,3.5715,5.1718,8.6733,12.9696,180508.22600693,0.903121,1.0839,3.1692,4.582,7.5795
